ayahRef,wordId,word,translation,highlight
2:160,,فَأُوْلَٰٓئِكَ أَتُوبُ عَلَيۡهِمۡ وَأَنَا ٱلتَّوَّابُ ٱلرَّحِيمُ,"Those—I will accept their repentance. I am the Acceptor of Repentance, the Merciful.",فَأُوْلَٰٓئِكَ
,,ٱلَّذِي,He who,
2:17,,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا,Their likeness is that of a person who kindled a fire;,ٱلَّذِي
2:259,,أَوۡ كَٱلَّذِي مَرَّ عَلَىٰ قَرۡيَةٖ,Or like him who passed by a town,كَٱلَّذِي
3:72,,ءَامِنُواْ بِٱلَّذِيٓ أُنزِلَ عَلَى ٱلَّذِينَ ءَامَنُواْ, Believe in that which was revealed to the believers,بِٱلَّذِيٓ
,,ٱلَّتِي,She who,
3:131,,وَٱتَّقُواْ ٱلنَّارَ ٱلَّتِيٓ أُعِدَّتۡ لِلۡكَٰفِرِينَ ,And guard yourselves against the Fire that is prepared for the disbelievers.,ٱلَّتِيٓ
23:96,,ٱدۡفَعۡ بِٱلَّتِي هِيَ أَحۡسَنُ ٱلسَّيِّئَةَۚ نَحۡنُ أَعۡلَمُ بِمَا يَصِفُونَ,Repel evil by what is better. We are aware of what they describe.,بِٱلَّتِي
16:92,,وَلَا تَكُونُواْ كَٱلَّتِي نَقَضَتۡ غَزۡلَهَا,"And do not be like her who untwisted her spun thread,",كَٱلَّتِي
,,ٱلَّذِينَ,Those who,
1:7,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ,"The path of those whom You have blessed,",ٱلَّذِينَ
3:105,,وَلَا تَكُونُواْ كَٱلَّذِينَ تَفَرَّقُواْ,And do not be like those who became divided,كَٱلَّذِينَ
6:10,,فَحَاقَ بِٱلَّذِينَ سَخِرُواْ مِنۡهُم,but those who mocked them were enveloped by what they used to ridicule.,بِٱلَّذِينَ
,,ٱلَّتِي,Those who,
7: 157,,وَيَضَعُ عَنۡهُمۡ إِصۡرَهُمۡ وَٱلۡأَغۡلَٰلَ ٱلَّتِي كَانَتۡ عَلَيۡهِمۡۚ ,and relieves them of their burden and the shackles which were upon zthem. ,ٱلَّتِي 
11: 101,,فَمَآ أَغۡنَتۡ عَنۡهُمۡ ءَالِهَتُهُمُ ٱلَّتِي يَدۡعُونَ مِن دُونِ ٱللَّهِ ,And they were not availed at all by their gods which they invoked other than Allah. ,ٱلَّتِي 
,,هَٰذِهِ,These,
6: 138,,وَقَالُواْ هَٰذِهِۦٓ أَنۡعَٰمٞ وَحَرۡثٌ حِجۡرٞ لَّا يَطۡعَمُهَآ إِلَّا مَن نَّشَآءُ بِزَعۡمِهِمۡ ,"«And they say, “These animals and crops are forbidden; no one may eat from them except whom we will,” by their claim. ",هَٰذِهِۦٓ 
21: 52,,إِذۡ قَالَ لِأَبِيهِ وَقَوۡمِهِۦ مَا هَٰذِهِ ٱلتَّمَاثِيلُ ٱلَّتِيٓ أَنتُمۡ لَهَا عَٰكِفُونَ,"«When he said to his father and his people, “What are these statues to which you are devoted?”(52)» ",هَٰذِهِ 
,12,تِلۡكَ ,Those,
2:111,,تِلۡكَ أَمَانِيُّهُمۡۗ,Those are their wishes.,تِلۡكَ
4:13,,تِلۡكَ حُدُودُ ٱللَّهِۚ,Those are the bounds set by Allah.,تِلۡكَ
,,نَعَمۡ,Yes,
7:44,,فَهَلۡ وَجَدتُّم مَّا وَعَدَ رَبُّكُمۡ حَقّٗاۖ قَالُواْ نَعَمۡ,"“Did you find what your Lord promised you to be true?” They will say, “Yes.”",نَعَمۡ
7:114,,قَالَ نَعَمۡ وَإِنَّكُمۡ لَمِنَ ٱلۡمُقَرَّبِينَ ,"He said, “Yes, and you will be among my favorites.”",نَعَمۡ
,,بَلَي,"Yes, indeed",
2:81,,بَلَىٰۚ مَن كَسَبَ سَيِّئَةٗ وَأَحَٰطَتۡ بِهِۦ خَطِيٓـَٔتُهُ,"Yes Indeed, whoever commits misdeeds, and becomes besieged by his iniquities—",بَلَىٰۚ
2:112,,بَلَىٰۚ مَنۡ أَسۡلَمَ وَجۡهَهُۥ لِلَّهِ وَهُوَ مُحۡسِنٞ,"Indeed, whoever submits his face in Islam to Allah while being a doer of good",بَلَىٰۚ
,,كَلَّا,Certainly not,
19:79,,كَلَّاۚ سَنَكۡتُبُ مَا يَقُولُ,"No indeed! We will write what he says,",كَلَّاۚ
23:100,,كَلَّآۚ إِنَّهَا كَلِمَةٌ هُوَ قَآئِلُهَاۖ,Certainly not! It is just a word he is saying.,كَلَّآۚ
,,إِلَّا,Except,
3:2,,ٱللَّهُ لَآ إِلَٰهَ إِلَّا هُوَ ٱلۡحَيُّ ٱلۡقَيُّومُۚ,"Allah - there is no deity except Him, the Ever-Living, the Sustainer of [all] existence.",إِلَّا
2:255,,مَن ذَا ٱلَّذِي يَشۡفَعُ عِندَهُۥٓ إِلَّا بِإِذۡنِهِ,Who is he that can intercede with Him except with His permission?,إِلَّا
,,إِنۡ .. إِلَّا,Nothing but,
4:62,,ثُمَّ جَآءُوكَ يَحۡلِفُونَ بِٱللَّهِ إِنۡ أَرَدۡنَآ إِلَّآ إِحۡسَٰنٗا وَتَوۡفِيقًا,We intended nothing but good conduct and accommodation.,إِنۡ .. إِلَّا
34:43,,إِنۡ هَٰذَآ إِلَّا سِحۡرٞ مُّبِينٞ,“This is nothing but plain magic.”,إِنۡ .. إِلَّا
,,مَا .. إِلَّا,Nothing but,
5:117,,مَا قُلۡتُ لَهُمۡ إِلَّا مَآ أَمَرۡتَنِي بِهِۦ,I said not to them except what You commanded me,مَا .. إِلَّا
23:24,,فَقَالَ ٱلۡمَلَؤُاْ ٱلَّذِينَ كَفَرُواْ مِن قَوۡمِهِۦ مَا هَٰذَآ إِلَّا بَشَرٞ مِّثۡلُكُمۡ,"But the notables of his people, who disbelieved, said, “This is nothing but a human like you,”",مَا .. إِلَّا
,,أَلَّا,So as not to/ that not,
12:40,,إِنِ ٱلۡحُكۡمُ إِلَّا لِلَّهِ أَمَرَ أَلَّا تَعۡبُدُوٓاْ إِلَّآ إِيَّاهُۚ,He has commanded that you worship none but Him.,أَلَّا
14:12,,وَمَا لَنَآ أَلَّا نَتَوَكَّلَ عَلَى ٱللَّهِ,And why should we not rely upon Allah,أَلَّا
,,لَا,Do(es) not,
88:11,,لَّا تَسۡمَعُ فِيهَا لَٰغِيَةٗ ,Wherein they will hear no unsuitable speech.,لَا
88:7,,لَّا يُسۡمِنُ وَلَا يُغۡنِي مِن جُوعٖ,"That neither nourishes, nor satisfies hunger.",لَا
,21,مَا,Not (continuous),
2:9,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ,"They seek to deceive Allah and those who believe, but they deceive none but themselves,",مَا
2:102,,وَمَا كَفَرَ سُلَيۡمَٰنُ وَلَٰكِنَّ ٱلشَّيَٰطِينَ كَفَرُواْ,"Solomon disbelieved not, but the Satans disbelieved,",مَا
,,لَنۡ,Will not,
12:66,,قَالَ لَنۡ أُرۡسِلَهُۥ مَعَكُمۡ حَتَّىٰ تُؤۡتُونِ مَوۡثِقٗا مِّنَ ٱللَّهِ,"He said, “I will not send him with you, unless you give me a pledge before Allah”",لَنۡ
12:80,,فَلَنۡ أَبۡرَحَ ٱلۡأَرۡضَ حَتَّىٰ يَأۡذَنَ لِيٓ أَبِيٓ,"I will not leave this land until my father permits me,",فَلَنۡ
,,لَمۡ,Did not,
2:151,,وَيُعَلِّمُكُمُ ٱلۡكِتَٰبَ وَٱلۡحِكۡمَةَ وَيُعَلِّمُكُم مَّا لَمۡ تَكُونُواْ تَعۡلَمُونَ,"and teach you the Book and the wisdom, and teaching you that which you did not know;",لَمۡ
2:247,,وَنَحۡنُ أَحَقُّ بِٱلۡمُلۡكِ مِنۡهُ وَلَمۡ يُؤۡتَ سَعَةٗ مِّنَ ٱلۡمَالِۚ,"when we are more worthy of authority than he, and he was not given plenty of wealth?”",لَمۡ
,,لَيۡسَ,(There is) no,
88:6,,لَّيۡسَ لَهُمۡ طَعَامٌ إِلَّا مِن ضَرِيعٖ ,"For them, there will be no food except from a poisonous, thorny plant",لَّيۡسَ
24:29,,لَّيۡسَ عَلَيۡكُمۡ جُنَاحٌ أَن تَدۡخُلُواْ بُيُوتًا غَيۡرَ مَسۡكُونَةٖ,"There is no blame on you for entering uninhabited houses,",لَّيۡسَ
,,لَيۡسَت,(There is) no,
2:113,,وَقَالَتِ ٱلۡيَهُودُ لَيۡسَتِ ٱلنَّصَٰرَىٰ عَلَىٰ شَيۡءٖ,"The Jews say, “The Christians are not based on anything;”",لَيۡسَتِ
,26,غَيۡر ,Other than,
28:71,,مَنۡ إِلَٰهٌ غَيۡرُ ٱللَّهِ يَأۡتِيكُم بِضِيَآءٍۚ,what deity other than Allah could bring you light?,غَيۡرُ
,27,غَيۡر,not,
1:7,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",غَيۡرِ
,,مِن دُون,Apart from,
29:22,,وَمَا لَكُم مِّن دُونِ ٱللَّهِ مِن وَلِيّٖ وَلَا نَصِيرٖ,and apart from Allah you have no protector or helper?,مِّن دُونِ
29:25,,وَقَالَ إِنَّمَا ٱتَّخَذۡتُم مِّن دُونِ ٱللَّهِ أَوۡثَٰنٗا,"And [Abraham] said, “You have only taken, apart from Allah, idols”",مِّن دُونِ
,,أَ ,Yes/ no Questions,
5:53,,أَهَٰٓؤُلَآءِ ٱلَّذِينَ أَقۡسَمُواْ بِٱللَّهِ جَهۡدَ أَيۡمَٰنِهِمۡ إِنَّهُمۡ لَمَعَكُمۡۚ,Are these the ones who swore by Allah most earnest oaths that they were with you?,أَهَٰٓؤُلَآءِ
21:36,,أَهَٰذَا ٱلَّذِي يَذۡكُرُ ءَالِهَتَكُمۡ,Is this the one who insults your gods?,أَهَٰذَا
12:39,,ءَأَرۡبَابٞ مُّتَفَرِّقُونَ خَيۡرٌ أَمِ ٱللَّهُ ٱلۡوَٰحِدُ ٱلۡقَهَّارُ ,"Are separate lords better or Allah, the One, the Prevailing?",ءَأَرۡبَابٞ
,,هَلۡ,Yes/ no Questions,
3:154,,يَقُولُونَ هَل لَّنَا مِنَ ٱلۡأَمۡرِ مِن شَيۡءٖۗ,"saying, ""Is there anything for us [to have done] in this matter?""",هَل
5:91,,وَيَصُدَّكُمۡ عَن ذِكۡرِ ٱللَّهِ وَعَنِ ٱلصَّلَوٰةِۖ فَهَلۡ أَنتُم مُّنتَهُونَ ,"and to prevent you from the remembrance of Allah, and from prayer. Will you not desist?",فَهَلۡ
,31,مَا ,What (question word),
7:12,,قَالَ مَا مَنَعَكَ أَلَّا تَسۡجُدَ إِذۡ أَمَرۡتُكَۖ,"He said, “What prevented you from prostrating when I have commanded you?”",مَا
,,مَاذا,What ...?,
26:35,,يُرِيدُ أَن يُخۡرِجَكُم مِّنۡ أَرۡضِكُم بِسِحۡرِهِۦ فَمَاذَا تَأۡمُرُونَ ,"“He wants to evict you from your land, so what do you recommend?”",فَمَاذَا
27:28,,فَأَلۡقِهۡ إِلَيۡهِمۡ ثُمَّ تَوَلَّ عَنۡهُمۡ فَٱنظُرۡ مَاذَا يَرۡجِعُونَ ,and deliver it to them. Then leave them and see what [answer] they will return.,مَاذَا
,,لِمَ,Why…?,
27:46,,قَالَ يَٰقَوۡمِ لِمَ تَسۡتَعۡجِلُونَ بِٱلسَّيِّئَةِ قَبۡلَ ٱلۡحَسَنَةِۖ,"He said, “O my people, why are you quick to do evil rather than good?”",لِمَ
41:21,,وَقَالُواْ لِجُلُودِهِمۡ لِمَ شَهِدتُّمۡ عَلَيۡنَاۖ,"And they will say to their skins, “Why did you testify against us?”",لِمَ
,,مَنۡ,Who...?,
41:33,,وَمَنۡ أَحۡسَنُ قَوۡلٗا مِّمَّن دَعَآ إِلَى ٱللَّهِ وَعَمِلَ صَٰلِحٗا,"And who is better in speech than someone who calls to Allah, and acts with integrity,",مَنۡ ، مِّمَّن
31:25,,وَلَئِن سَأَلۡتَهُم مَّنۡ خَلَقَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضَ ,"And if you ask them, “Who created the heavens and the earth?”",مَّنۡ
,,مَتَى,When ...?,
10:48,,وَيَقُولُونَ مَتَىٰ هَٰذَا ٱلۡوَعۡدُ إِن كُنتُمۡ صَٰدِقِينَ,"And they say, “When will this promise be fulfilled, if you are truthful?”",مَتَىٰ
17:51,,فَسَيُنۡغِضُونَ إِلَيۡكَ رُءُوسَهُمۡ وَيَقُولُونَ مَتَىٰ هُوَۖ,"Then they will nod their heads at you, and say, “When will it be?”",مَتَىٰ
,,أَيۡنَ,Where...?,
28:62,,وَيَوۡمَ يُنَادِيهِمۡ فَيَقُولُ أَيۡنَ شُرَكَآءِيَ ٱلَّذِينَ كُنتُمۡ تَزۡعُمُونَ ,"On the Day when He will call to them, and say, “Where are My associates whom you used to claim?”",أَيۡنَ
26:92,,وَقِيلَ لَهُمۡ أَيۡنَ مَا كُنتُمۡ تَعۡبُدُونَ ,"And it will be said to them, “Where are those you used to worship?”",أَيۡنَ
,,كَيۡفَ,How...?,
29:19,,أَوَلَمۡ يَرَوۡاْ كَيۡفَ يُبۡدِئُ ٱللَّهُ ٱلۡخَلۡقَ ثُمَّ يُعِيدُهُۥٓۚ,Have they not seen how Allah begins creation and then repeats it?,كَيۡفَ
29:20,,قُلۡ سِيرُواْ فِي ٱلۡأَرۡضِ فَٱنظُرُواْ كَيۡفَ بَدَأَ ٱلۡخَلۡقَۚ,"Say, [O Muhammad], ""Travel through the land and observe how He began creation.”",كَيۡفَ
,,كَمۡ,How many/ much?,
6:6,,أَلَمۡ يَرَوۡاْ كَمۡ أَهۡلَكۡنَا مِن قَبۡلِهِم مِّن قَرۡنٖ,Have they not considered how many generations We destroyed before them?,كَمۡ
2:111,,وَكَمۡ قَصَمۡنَا مِن قَرۡيَةٖ كَانَتۡ ظَالِمَةٗ,"How many a guilty town have We crushed,",كَمۡ
,,أَيُّ,Which?,
6:19,,قُلۡ أَيُّ شَيۡءٍ أَكۡبَرُ شَهَٰدَةٗۖ,"Say, ""What thing is greatest in testimony?""",أَيُّ
6:81,,فَأَيُّ ٱلۡفَرِيقَيۡنِ أَحَقُّ بِٱلۡأَمۡنِۖ إِن كُنتُمۡ تَعۡلَمُونَ ,"So which of the two parties has more right to security, if you should know?",فَأَيُّ
,40,أنَّى ,How...?,
6:95,,ذَٰلِكُمُ ٱللَّهُۖ فَأَنَّىٰ تُؤۡفَكُونَ ,That is Allah. So how could you deviate?,فَأَنَّىٰ
,41,أنَّى ,From Where..?,
6:101,,أَنَّىٰ يَكُونُ لَهُۥ وَلَدٞ وَلَمۡ تَكُن لَّهُۥ صَٰحِبَةٞۖ,How can He have a son when He never had a companion?,أَنَّىٰ
,,فَوۡق,Above/ on/ over,
12:36,,إِنِّيٓ أَرَىٰنِيٓ أَحۡمِلُ فَوۡقَ رَأۡسِي خُبۡزٗا تَأۡكُلُ ٱلطَّيۡرُ مِنۡهُۖ,"""Indeed, I have seen myself [in a dream] carrying on my head [some] bread, from which the birds were eating.”",فَوۡقَ
3:55,,وَجَاعِلُ ٱلَّذِينَ ٱتَّبَعُوكَ فَوۡقَ ٱلَّذِينَ كَفَرُوٓاْ إِلَىٰ يَوۡمِ ٱلۡقِيَٰمَةِۖ,and hold those who follow you above those who disbelieve till the Day of Resurrection.,فَوۡقَ
6:165,,وَرَفَعَ بَعۡضَكُمۡ فَوۡقَ بَعۡضٖ دَرَجَٰتٖ لِّيَبۡلُوَكُمۡ فِي مَآ ءَاتَىٰكُمۡۗ,and exalted some in rank over others in order to try you by what He has given you.,فَوۡقَ
,,تَحۡت,Under(neath)/ beneath,
6:65,,قُلۡ هُوَ ٱلۡقَادِرُ عَلَىٰٓ أَن يَبۡعَثَ عَلَيۡكُمۡ عَذَابٗا مِّن فَوۡقِكُمۡ أَوۡ مِن تَحۡتِ أَرۡجُلِكُمۡ,"Say, “He is Able to send upon you an affliction, from above you, or from under your feet.",تَحۡتِ
19:24,,فَنَادَىٰهَا مِن تَحۡتِهَآ أَلَّا تَحۡزَنِي قَدۡ جَعَلَ رَبُّكِ تَحۡتَكِ سَرِيّٗا ,Whereupon he called her from beneath her: “Do not worry; your Lord has placed a stream beneath you.”,تَحۡتَكِ
,,يَمِين,Right (hand),
34:15,,لَقَدۡ كَانَ لِسَبَإٖ فِي مَسۡكَنِهِمۡ ءَايَةٞۖ جَنَّتَانِ عَن يَمِينٖ وَشِمَالٖۖ,There was for [the tribe of] Saba' in their dwelling place a sign: two [fields of] gardens on the right and on the left.,يَمِينٖ
37:28,,قَالُوٓاْ إِنَّكُمۡ كُنتُمۡ تَأۡتُونَنَا عَنِ ٱلۡيَمِينِ ,"They will say, “You used to come at us from the right.”",ٱلۡيَمِينِ
20:17,,وَ مَا تِلۡكَ بِيَمِينِكَ يَٰمُوسَىٰ ,"And what is that in your right-hand, O Moses?”",بِيَمِينِكَ
,,شِمَال,Left (hand),
34:15,,لَقَدۡ كَانَ لِسَبَإٖ فِي مَسۡكَنِهِمۡ ءَايَةٞۖ جَنَّتَانِ عَن يَمِينٖ وَ شِمَالٖۖ,There was for [the tribe of] Saba' in their dwelling place a sign: two [fields of] gardens on the right and on the left.,شِمَالٖۖ
50:17,,إِذۡ يَتَلَقَّى ٱلۡمُتَلَقِّيَانِ عَنِ ٱلۡيَمِينِ وَعَنِ ٱلشِّمَالِ قَعِيدٞ ,"As the two receivers receive, seated to the right and to the left.",ٱلشِّمَالِ
56:41,,وَأَصۡحَٰبُ ٱلشِّمَالِ مَآ أَصۡحَٰبُ ٱلشِّمَالِ ,And the companions of the left - what are the companions of the left?,ٱلشِّمَالِ
69:25,,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ بِشِمَالـِهِۦ فَيَقُولُ,"But as for he who is given his record in his left hand, he will say,",بِشِمَالـِهِۦ
,,بَيۡن,Between/ Among,
59:7,,كَيۡ لَا يَكُونَ دُولَةَۢ بَيۡنَ ٱلۡأَغۡنِيَآءِ مِنكُمۡۚ,so that it may not circulate solely between the wealthy among you.,بَيۡنَ
20:6,,لَهُۥ مَا فِي ٱلسَّمَٰوَٰتِ وَمَا فِي ٱلۡأَرۡضِ وَمَا بَيۡنَهُمَا وَمَا تَحۡتَ ٱلثَّرَىٰ ,"To Him belongs everything in the heavens and the earth, and everything between them, and everything beneath the soil.",بَيۡنَهُمَا
86:7,,يَخۡرُجُ مِنۢ بَيۡنِ ٱلصُّلۡبِ وَٱلتَّرَآئِبِ ,Issuing from between the backbone and the breastbones.,بَيۡنِ
,,بَيۡن يَدَي,Before (place/ time),
2:97,,مُصَدِّقٗا لِّمَا بَيۡنَ يَدَيۡهِ وَهُدٗى وَبُشۡرَىٰ لِلۡمُؤۡمِنِينَ ,"Confirming that which was before it, and as guidance and good tidings for the believers.",بَيۡنَ يَدَيۡهِ
,,بَيۡنَ أَيۡدِي,Before (place/ time),
22:76,,يَعۡلَمُ مَا بَيۡنَ أَيۡدِيهِمۡ وَمَا خَلۡفَهُمۡۖ,"He knows what is [presently] before them and what will be after them,",بَيۡنَ أَيۡدِيهِمۡ
,49,خَلۡف ,Behind,
22:76,,يَعۡلَمُ مَا بَيۡنَ أَيۡدِيهِمۡ وَمَا خَلۡفَهُمۡۖ,He knows what is in front of them and what is behind them;,خَلۡفَهُمۡۖ
,50,خَلۡف ,Successor,
10:92,,فَٱلۡيَوۡمَ نُنَجِّيكَ بِبَدَنِكَ لِتَكُونَ لِمَنۡ خَلۡفَكَ ءَايَةٗۚ,"Today We will preserve your body, so that you become a sign for those after you.",خَلۡفَكَ
,51,وَرَاء,Behind,
33:53,,وَإِذَا سَأَلۡتُمُوهُنَّ مَتَٰعٗا فَسۡـَٔلُوهُنَّ مِن وَرَآءِ حِجَابٖۚ,"And when you ask his wives for something, ask them from behind a screen;",وَرَآءِ
,52,وَرَاء,Beyond (after),
11:71,,فَبَشَّرۡنَٰهَا بِإِسۡحَٰقَ وَ مِن وَرَآءِ إِسۡحَٰقَ يَعۡقُوبَ ,"And We gave her good news of Isaac; and after Isaac, Jacob.",وَرَآءِ
70:31,,فَمَنِ ٱبۡتَغَىٰ وَرَآءَ ذَٰلِكَ فَأُوْلَٰٓئِكَ هُمُ ٱلۡعَادُونَ ,But whoever seeks anything beyond that—these are the transgressors.,وَرَآءَ
,,حَوۡل,(A)round,
39:75,,وَتَرَى ٱلۡمَلَٰٓئِكَةَ حَآفِّينَ مِنۡ حَوۡلِ ٱلۡعَرۡشِ يُسَبِّحُونَ بِحَمۡدِ رَبِّهِمۡۚ,"And you will see the angels hovering around the Throne, glorifying their Lord with praise.",حَوۡلِ
6:92,,وَلِتُنذِرَ أُمَّ ٱلۡقُرَىٰ وَمَنۡ حَوۡلَـهَاۚ,"that you may warn the Central City and whoever is around it,",حَوۡلَـهَاۚ
2:240,,وَصِيَّةٗ لِّأَزۡوَٰجِهِم مَّتَٰعًا إِلَى ٱلۡحَوۡلِ غَيۡرَ إِخۡرَاجٖۚ,For their wives is a bequest: maintenance for one year without turning [them] out.,ٱلۡحَوۡلِ
,,حَيۡثُ,Wherever,
2:191,,وَٱقۡتُلُوهُمۡ حَيۡثُ ثَقِفۡتُمُوهُمۡ وَأَخۡرِجُوهُم مِّنۡ حَيۡثُ أَخۡرَجُوكُمۡۚ,"And kill them wherever you overtake them, and expel them from where they had expelled you.",حَيۡثُ
2:144,,وَحَيۡثُ مَا كُنتُمۡ فَوَلُّواْ وُجُوهَكُمۡ شَطۡرَهُۥۗ,"And wherever you may be, turn your faces towards it.",حَيۡثُ
,,أَيۡنَمَا,Wherever,
4:78,,أَيۡنَمَا تَكُونُواْ يُدۡرِككُّمُ ٱلۡمَوۡتُ وَلَوۡ كُنتُمۡ فِي بُرُوجٖ مُّشَيَّدَةٖۗ,"Wherever you may be, death will catch up with you, even if you were in fortified towers.",أَيۡنَمَا
2:115,,فَأَيۡنَمَا تُوَلُّواْ فَثَمَّ وَجۡهُ ٱللَّهِۚ,"So wherever you [might] turn, there is the Face of Allah.",فَأَيۡنَمَا
,,بـِـ,In,
1:1,,بِـسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ,"In the name of Allah, the Gracious, the Merciful.",بِـسۡمِ
10:87,,وَأَوۡحَيۡنَآ إِلَىٰ مُوسَىٰ وَأَخِيهِ أَن تَبَوَّءَا لِقَوۡمِكُمَا بِـمِصۡرَ بُيُوتٗا,"And We inspired to Moses and his brother, “Settle your people in Egypt in houses and make your houses”",بِـمِصۡرَ
2:4,,وَٱلَّذِينَ يُؤۡمِنُونَ بِـمَآ أُنزِلَ إِلَيۡكَ,"And those who believe in what was revealed to you,",بِـمَآ
,,عَنۡ,(away) From/ about,
74:49,,فَمَا لَهُمۡ عَنِ ٱلتَّذۡكِرَةِ مُعۡرِضِينَ ,"Then what is [the matter] with them that they are, from the reminder, turning away",عَنِ
2:186,,وَإِذَا سَأَلَكَ عِبَادِي عَنّـِي فَإِنِّي قَرِيبٌۖ,"And when My servants ask you about Me, I Am near;",عَنّـِي
,,فِي,In/ during,
9:17,,أُوْلَٰٓئِكَ حَبِطَتۡ أَعۡمَٰلُهُمۡ وَفِي ٱلنَّارِ هُمۡ خَٰلِدُونَ ,"[For] those, their deeds have become worthless, and in the Fire they will abide eternally.",فِي
2:190,,وَقَٰتِلُواْ فِي سَبِيلِ ٱللَّهِ ٱلَّذِينَ يُقَٰتِلُونَكُمۡ,"And fight in the way/cause of Allah those who fight you,",فِي
2:196,,فَمَن لَّمۡ يَجِدۡ فَصِيَامُ ثَلَٰثَةِ أَيَّامٖ فِي ٱلۡحَجِّ,"But if he lacks the means, then fasting for three days during the Hajj",فِي
,,كَــ,As/ like,
2:191,,كَـذَٰلِكَ جَزَآءُ ٱلۡكَٰفِرِينَ ,Such is the retribution of the disbelievers.,كَـذَٰلِكَ
22:47,,وَإِنَّ يَوۡمًا عِندَ رَبِّكَ كَـأَلۡفِ سَنَةٖ مِّمَّا تَعُدُّونَ ,A day with your Lord is like a thousand years of your count.,كَـأَلۡفِ
,,لـ,For (belongs to),
2:273,,لِلۡفُقَرَآءِ ٱلَّذِينَ أُحۡصِرُواْ فِي سَبِيلِ ٱللَّهِ,"It is for the poor; those who are restrained in the way of Allah,",لِلۡفُقَرَآءِ
2:2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ ,"This is the Book in which there is no doubt, a guide for the righteous.",لِّلۡمُتَّقِينَ
,,مِنۡ,from,
