AyahRef,Word,Meaning,Highlight
2:5,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",فَأُوْلَٰٓئِكَ
2:160,فَأُوْلَٰٓئِكَ أَتُوبُ عَلَيۡهِمۡ وَأَنَا ٱلتَّوَّابُ ٱلرَّحِيمُ,"Those—I will accept their repentance. I am the Acceptor of Repentance, the Merciful.",
,ٱلَّذِي,He who,ٱلَّذِي
2:17,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا,Their likeness is that of a person who kindled a fire;,كَٱلَّذِي
2:259,أَوۡ كَٱلَّذِي مَرَّ عَلَىٰ قَرۡيَةٖ,Or like him who passed by a town,بِٱلَّذِيٓ
3:72,ءَامِنُواْ بِٱلَّذِيٓ أُنزِلَ عَلَى ٱلَّذِينَ ءَامَنُواْ," Believe in that which was revealed to the believers",
,ٱلَّتِي,She who,ٱلَّتِيٓ
3:131,"وَٱتَّقُواْ ٱلنَّارَ ٱلَّتِيٓ أُعِدَّتۡ لِلۡكَٰفِرِينَ ",And guard yourselves against the Fire that is prepared for the disbelievers.,بِٱلَّتِي
23:96,ٱدۡفَعۡ بِٱلَّتِي هِيَ أَحۡسَنُ ٱلسَّيِّئَةَۚ نَحۡنُ أَعۡلَمُ بِمَا يَصِفُونَ,Repel evil by what is better. We are aware of what they describe.,كَٱلَّتِي
16:92,وَلَا تَكُونُواْ كَٱلَّتِي نَقَضَتۡ غَزۡلَهَا,"And do not be like her who untwisted her spun thread,",
,ٱلَّذِينَ,Those who,ٱلَّذِينَ
1:7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ,"The path of those whom You have blessed,",كَٱلَّذِينَ
3:105,وَلَا تَكُونُواْ كَٱلَّذِينَ تَفَرَّقُواْ,And do not be like those who became divided,بِٱلَّذِينَ
6:10,فَحَاقَ بِٱلَّذِينَ سَخِرُواْ مِنۡهُم,but those who mocked them were enveloped by what they used to ridicule.,
,تِلۡكَ (تِلۡكَ ٱلرُّسُلُ),Those,تِلۡكَ
2:111,تِلۡكَ أَمَانِيُّهُمۡۗ,Those are their wishes.,تِلۡكَ
4:13,تِلۡكَ حُدُودُ ٱللَّهِۚ,Those are the bounds set by Allah.,
,نَعَمۡ,Yes,نَعَمۡ
7:44,فَهَلۡ وَجَدتُّم مَّا وَعَدَ رَبُّكُمۡ حَقّٗاۖ قَالُواْ نَعَمۡ,"“Did you find what your Lord promised you to be true?” They will say, “Yes.”",نَعَمۡ
7:114,"قَالَ نَعَمۡ وَإِنَّكُمۡ لَمِنَ ٱلۡمُقَرَّبِينَ ","He said, “Yes, and you will be among my favorites.”",
,بَلَي,"Yes, indeed",بَلَىٰۚ
2:81,بَلَىٰۚ مَن كَسَبَ سَيِّئَةٗ وَأَحَٰطَتۡ بِهِۦ خَطِيٓـَٔتُهُ,"Yes Indeed, whoever commits misdeeds, and becomes besieged by his iniquities—",بَلَىٰۚ
2:112,بَلَىٰۚ مَنۡ أَسۡلَمَ وَجۡهَهُۥ لِلَّهِ وَهُوَ مُحۡسِنٞ,"Indeed, whoever submits his face in Islam to Allah while being a doer of good",
,كَلَّا,Certainly not,كَلَّاۚ
19:79,كَلَّاۚ سَنَكۡتُبُ مَا يَقُولُ,"No indeed! We will write what he says,",كَلَّآۚ
23:100,كَلَّآۚ إِنَّهَا كَلِمَةٌ هُوَ قَآئِلُهَاۖ,Certainly not! It is just a word he is saying.,
,إِلَّا,Except,إِلَّا
3:2,ٱللَّهُ لَآ إِلَٰهَ إِلَّا هُوَ ٱلۡحَيُّ ٱلۡقَيُّومُۚ,"Allah - there is no deity except Him, the Ever-Living, the Sustainer of [all] existence.",إِلَّا
2:255,مَن ذَا ٱلَّذِي يَشۡفَعُ عِندَهُۥٓ إِلَّا بِإِذۡنِهِ,Who is he that can intercede with Him except with His permission?,
,إِنۡ .. إِلَّا,Nothing but,إِنۡ .. إِلَّا
4:62,ثُمَّ جَآءُوكَ يَحۡلِفُونَ بِٱللَّهِ إِنۡ أَرَدۡنَآ إِلَّآ إِحۡسَٰنٗا وَتَوۡفِيقًا,We intended nothing but good conduct and accommodation.,إِنۡ .. إِلَّا
34:43,إِنۡ هَٰذَآ إِلَّا سِحۡرٞ مُّبِينٞ,“This is nothing but plain magic.”,
,مَا .. إِلَّا,Nothing but,مَا .. إِلَّا
5:117,مَا قُلۡتُ لَهُمۡ إِلَّا مَآ أَمَرۡتَنِي بِهِۦ,I said not to them except what You commanded me,مَا .. إِلَّا
23:24,فَقَالَ ٱلۡمَلَؤُاْ ٱلَّذِينَ كَفَرُواْ مِن قَوۡمِهِۦ مَا هَٰذَآ إِلَّا بَشَرٞ مِّثۡلُكُمۡ,"But the notables of his people, who disbelieved, said, “This is nothing but a human like you,”",
,أَلَّا,So as not to/ that not,أَلَّا
12:40,إِنِ ٱلۡحُكۡمُ إِلَّا لِلَّهِ أَمَرَ أَلَّا تَعۡبُدُوٓاْ إِلَّآ إِيَّاهُۚ,He has commanded that you worship none but Him.,أَلَّا
14:12,وَمَا لَنَآ أَلَّا نَتَوَكَّلَ عَلَى ٱللَّهِ,And why should we not rely upon Allah,
,لَا,Do(es) not,لَا
88:7,لَّا يُسۡمِنُ وَلَا يُغۡنِي مِن جُوعٖ,"That neither nourishes, nor satisfies hunger.",لَا
88:11,"لَّا تَسۡمَعُ فِيهَا لَٰغِيَةٗ ",Wherein they will hear no unsuitable speech.,
,مَا,Not (continuous),مَا
2:9,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ,"They seek to deceive Allah and those who believe, but they deceive none but themselves,",مَا
2:102,وَمَا كَفَرَ سُلَيۡمَٰنُ وَلَٰكِنَّ ٱلشَّيَٰطِينَ كَفَرُواْ,"Solomon disbelieved not, but the Satans disbelieved,",
,لَنۡ,Will not,لَنۡ
12:66,قَالَ لَنۡ أُرۡسِلَهُۥ مَعَكُمۡ حَتَّىٰ تُؤۡتُونِ مَوۡثِقٗا مِّنَ ٱللَّهِ,"He said, “I will not send him with you, unless you give me a pledge before Allah”",فَلَنۡ
12:80,فَلَنۡ أَبۡرَحَ ٱلۡأَرۡضَ حَتَّىٰ يَأۡذَنَ لِيٓ أَبِيٓ,"I will not leave this land until my father permits me,",
,لَمۡ,Did not,لَمۡ
2:151,وَيُعَلِّمُكُمُ ٱلۡكِتَٰبَ وَٱلۡحِكۡمَةَ وَيُعَلِّمُكُم مَّا لَمۡ تَكُونُواْ تَعۡلَمُونَ,"and teach you the Book and the wisdom, and teaching you that which you did not know;",لَمۡ
2:247,وَنَحۡنُ أَحَقُّ بِٱلۡمُلۡكِ مِنۡهُ وَلَمۡ يُؤۡتَ سَعَةٗ مِّنَ ٱلۡمَالِۚ,"when we are more worthy of authority than he, and he was not given plenty of wealth?”",
,لَيۡسَ,(There is) no,لَّيۡسَ
88:6,"لَّيۡسَ لَهُمۡ طَعَامٌ إِلَّا مِن ضَرِيعٖ ","For them, there will be no food except from a poisonous, thorny plant",لَّيۡسَ
24:29,لَّيۡسَ عَلَيۡكُمۡ جُنَاحٌ أَن تَدۡخُلُواْ بُيُوتًا غَيۡرَ مَسۡكُونَةٖ,"There is no blame on you for entering uninhabited houses,",
,لَيۡسَت,(There is) no,لَيۡسَتِ
2:113,وَقَالَتِ ٱلۡيَهُودُ لَيۡسَتِ ٱلنَّصَٰرَىٰ عَلَىٰ شَيۡءٖ,"The Jews say, “The Christians are not based on anything;”",
,غَيۡر (مَنۡ إِلَٰهٌ غَيۡرُ ٱللَّهِ),Other than,غَيۡرُ
28:71,مَنۡ إِلَٰهٌ غَيۡرُ ٱللَّهِ يَأۡتِيكُم بِضِيَآءٍۚ,what deity other than Allah could bring you light?,
,غَيۡر (غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ),not,غَيۡرِ
1:7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",
,مِن دُون,Apart from,مِّن دُونِ
29:22,وَمَا لَكُم مِّن دُونِ ٱللَّهِ مِن وَلِيّٖ وَلَا نَصِيرٖ,and apart from Allah you have no protector or helper?,مِّن دُونِ
29:25,وَقَالَ إِنَّمَا ٱتَّخَذۡتُم مِّن دُونِ ٱللَّهِ أَوۡثَٰنٗا,"And [Abraham] said, “You have only taken, apart from Allah, idols”",
,"أَ ",Yes/ no Questions,أَهَٰٓؤُلَآءِ
5:53,أَهَٰٓؤُلَآءِ ٱلَّذِينَ أَقۡسَمُواْ بِٱللَّهِ جَهۡدَ أَيۡمَٰنِهِمۡ إِنَّهُمۡ لَمَعَكُمۡۚ,Are these the ones who swore by Allah most earnest oaths that they were with you?,أَهَٰذَا
21:36,أَهَٰذَا ٱلَّذِي يَذۡكُرُ ءَالِهَتَكُمۡ,Is this the one who insults your gods?,ءَأَرۡبَابٞ
12:39,"ءَأَرۡبَابٞ مُّتَفَرِّقُونَ خَيۡرٌ أَمِ ٱللَّهُ ٱلۡوَٰحِدُ ٱلۡقَهَّارُ ","Are separate lords better or Allah, the One, the Prevailing?",
,هَلۡ,Yes/ no Questions,هَل
3:154,يَقُولُونَ هَل لَّنَا مِنَ ٱلۡأَمۡرِ مِن شَيۡءٖۗ,"saying, ""Is there anything for us [to have done] in this matter?""",فَهَلۡ
5:91,"وَيَصُدَّكُمۡ عَن ذِكۡرِ ٱللَّهِ وَعَنِ ٱلصَّلَوٰةِۖ فَهَلۡ أَنتُم مُّنتَهُونَ ","and to prevent you from the remembrance of Allah, and from prayer. Will you not desist?",
,مَاذا,What ...?,فَمَاذَا
26:35,"يُرِيدُ أَن يُخۡرِجَكُم مِّنۡ أَرۡضِكُم بِسِحۡرِهِۦ فَمَاذَا تَأۡمُرُونَ ","“He wants to evict you from your land, so what do you recommend?”",مَاذَا
27:28,"فَأَلۡقِهۡ إِلَيۡهِمۡ ثُمَّ تَوَلَّ عَنۡهُمۡ فَٱنظُرۡ مَاذَا يَرۡجِعُونَ ",and deliver it to them. Then leave them and see what [answer] they will return.,
,لِمَ,Why…?,لِمَ
27:46,قَالَ يَٰقَوۡمِ لِمَ تَسۡتَعۡجِلُونَ بِٱلسَّيِّئَةِ قَبۡلَ ٱلۡحَسَنَةِۖ,"He said, “O my people, why are you quick to do evil rather than good?”",لِمَ
41:21,وَقَالُواْ لِجُلُودِهِمۡ لِمَ شَهِدتُّمۡ عَلَيۡنَاۖ,"And they will say to their skins, “Why did you testify against us?”",
,مَنۡ,Who...?,مَنۡ ، مِّمَّن
41:33,وَمَنۡ أَحۡسَنُ قَوۡلٗا مِّمَّن دَعَآ إِلَى ٱللَّهِ وَعَمِلَ صَٰلِحٗا,"And who is better in speech than someone who calls to Allah, and acts with integrity,",مَّنۡ
31:25,"وَلَئِن سَأَلۡتَهُم مَّنۡ خَلَقَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضَ ","And if you ask them, “Who created the heavens and the earth?”",
,مَتَى,When ...?,مَتَىٰ
10:48,وَيَقُولُونَ مَتَىٰ هَٰذَا ٱلۡوَعۡدُ إِن كُنتُمۡ صَٰدِقِينَ,"And they say, “When will this promise be fulfilled, if you are truthful?”",مَتَىٰ
17:51,فَسَيُنۡغِضُونَ إِلَيۡكَ رُءُوسَهُمۡ وَيَقُولُونَ مَتَىٰ هُوَۖ,"Then they will nod their heads at you, and say, “When will it be?”",
,أَيۡنَ,Where...?,أَيۡنَ
28:62,"وَيَوۡمَ يُنَادِيهِمۡ فَيَقُولُ أَيۡنَ شُرَكَآءِيَ ٱلَّذِينَ كُنتُمۡ تَزۡعُمُونَ ","On the Day when He will call to them, and say, “Where are My associates whom you used to claim?”",أَيۡنَ
26:92,"وَقِيلَ لَهُمۡ أَيۡنَ مَا كُنتُمۡ تَعۡبُدُونَ ","And it will be said to them, “Where are those you used to worship?”",
,كَيۡفَ,How...?,كَيۡفَ
29:19,أَوَلَمۡ يَرَوۡاْ كَيۡفَ يُبۡدِئُ ٱللَّهُ ٱلۡخَلۡقَ ثُمَّ يُعِيدُهُۥٓۚ,Have they not seen how Allah begins creation and then repeats it?,كَيۡفَ
29:20,قُلۡ سِيرُواْ فِي ٱلۡأَرۡضِ فَٱنظُرُواْ كَيۡفَ بَدَأَ ٱلۡخَلۡقَۚ,"Say, [O Muhammad], ""Travel through the land and observe how He began creation.”",
,كَمۡ,How many/ much?,كَمۡ
6:6,أَلَمۡ يَرَوۡاْ كَمۡ أَهۡلَكۡنَا مِن قَبۡلِهِم مِّن قَرۡنٖ,Have they not considered how many generations We destroyed before them?,كَمۡ
2:111,وَكَمۡ قَصَمۡنَا مِن قَرۡيَةٖ كَانَتۡ ظَالِمَةٗ,"How many a guilty town have We crushed,",
,أَيُّ,Which?,أَيُّ
6:19,قُلۡ أَيُّ شَيۡءٍ أَكۡبَرُ شَهَٰدَةٗۖ,"Say, ""What thing is greatest in testimony?""",فَأَيُّ
6:81,فَأَيُّ ٱلۡفَرِيقَيۡنِ أَحَقُّ بِٱلۡأَمۡنِۖ إِن كُنتُمۡ تَعۡلَمُونَ ,"So which of the two parties has more right to security, if you should know?",
,أنَّى (أَنَّىٰ يَكُونُ لِي غُلَٰمٞ),How...?,فَأَنَّىٰ
6:95,"ذَٰلِكُمُ ٱللَّهُۖ فَأَنَّىٰ تُؤۡفَكُونَ ",That is Allah. So how could you deviate?,
,أنَّى (أَنَّىٰ لَكِ هَٰذَاۖ),From Where..?,أَنَّىٰ
6:101,"قَالَ يَٰمَرۡيَمُ أَنَّىٰ لَكِ هَٰذَاۖ ","He said, ""O Mary, from where is this [coming] to you?""",
,فَوۡق,Above/ on/ over,فَوۡقَ
12:36,إِنِّيٓ أَرَىٰنِيٓ أَحۡمِلُ فَوۡقَ رَأۡسِي خُبۡزٗا تَأۡكُلُ ٱلطَّيۡرُ مِنۡهُۖ,"""Indeed, I have seen myself [in a dream] carrying on my head [some] bread, from which the birds were eating.”
and hold those who follow you above those who disbelieve till the Day of Resurrection.
and exalted some in rank over others in order to try you by what He has given you.
Under(neath)/ beneath
Say, “He is Able to send upon you an affliction, from above you, or from under your feet.
Whereupon he called her from beneath her: “Do not worry; your Lord has placed a stream beneath you.”
Right (hand)
There was for [the tribe of] Saba' in their dwelling place a sign: two [fields of] gardens on the right and on the left.
They will say, “You used to come at us from the right.”
And what is that in your right-hand, O Moses?”
Left (hand)
There was for [the tribe of] Saba' in their dwelling place a sign: two [fields of] gardens on the right and on the left.
As the two receivers receive, seated to the right and to the left.
And the companions of the left - what are the companions of the left?
But as for he who is given his record in his left hand, he will say,
Between/ Among
so that it may not circulate solely between the wealthy among you.
To Him belongs everything in the heavens and the earth, and everything between them, and everything beneath the soil.
Issuing from between the backbone and the breastbones.
Before (place/ time)
Confirming that which was before it, and as guidance and good tidings for the believers.
He knows what is [presently] before them and what will be after them,
Behind
He knows what is in front of them and what is behind them;
Successor
Today We will preserve your body, so that you become a sign for those after you.
Behind
And when you ask his wives for something, ask them from behind a screen;
Beyond (after)
And We gave her good news of Isaac; and after Isaac, Jacob.
But whoever seeks anything beyond that—these are the transgressors.
(A)round
And you will see the angels hovering around the Throne, glorifying their Lord with praise.
that you may warn the Central City and whoever is around it,
For their wives is a bequest: maintenance for one year without turning [them] out.
Wherever
And kill them wherever you overtake them, and expel them from where they had expelled you.
And wherever you may be, turn your faces towards it.
Wherever
Wherever you may be, death will catch up with you, even if you were in fortified towers.
So wherever you [might] turn, there is the Face of Allah.
In
In the name of Allah, the Gracious, the Merciful.
And We inspired to Moses and his brother, “Settle your people in Egypt in houses and make your houses”
And those who believe in what was revealed to you,
(away) From/ about
Then what is [the matter] with them that they are, from the reminder, turning away
And when My servants ask you about Me, I Am near;
In/ during
[For] those, their deeds have become worthless, and in the Fire they will abide eternally.
And fight in the way/cause of Allah those who fight you,
But if he lacks the means, then fasting for three days during the Hajj
As/ like
Such is the retribution of the disbelievers.
A day with your Lord is like a thousand years of your count.
For (belongs to)
It is for the poor; those who are restrained in the way of Allah,
This is the Book in which there is no doubt, a guide for the righteous.
from
When a good fortune comes their way, they say, “This is from Allah.”
And recall that We delivered you from the people of Pharaoh.
(to)wards
And on the Day of Resurrection, they will be assigned to the most severe torment.
He guides whom He wills to a straight path.
Until
And do not shave your heads until the offering has reached its destination.
Never will you attain the good [reward] until you spend [in the way of Allah] from that which you love.
On/ upon/ over
Then [after slaughtering them] put on each hill a portion of them;
Pilgrimage to the House is a duty to Allah on all who can make the journey.
“When Allah is a witness over what you do?”
With
Our Lord, so forgive us our sins and remove from us our misdeeds and cause us to die with the righteous.
therefore, record us among the witnesses of the truth.”
And/ by (swear by)
By the fig and the olive, (1) And [by] Mount Sinai,
Except those who accepted faith and did good deeds –
Verily/ truly
Verily Allah is Able to do all things.
Verily, Allah is not ashamed to set forth a parable even of a mosquito or so much more when it is bigger than it.
That (+nouns)
Do they not know that Allah knows what they conceal and what they reveal?
Do you not know that Allah is capable of all things?
If
So if they believe in the same as you believe in, then they have been [rightly] guided;
“Then who could prevent Allah at all if He had intended to destroy Christ, the son of Mary,”
If
“If you extend your hand to kill me, I will not extend my hand to kill you;
to in order to (+ Verbs)
He said, “O woe to me! Have I failed to be like this crow-?”
He will say, “Glory be to You! It is not for me to say what I have no right to.
As if
he turns away in pride, as though he did not hear them, as though there is deafness in his ears.
And [mention] when We raised the mountain above them as if it was a dark cloud
But
In fact, it is they who are the corrupters, but they are not aware.
Verily, Allah is Gracious towards the people, but most people are not appreciative.
When
So when it became clear to him, he said, “I know that Allah has power over all things.”
They denied the truth when it has come to them;
If
And if Allah had willed, He could have taken away their hearing and their sight.
And if We had made him an angel, We would have made him a man,
But for
And Were it not for Allah’s grace and mercy towards you, you would have been among the losers.
And if it were not for Allah checking [some] people by means of others, the earth would have been corrupted,
why .. not
Those who believe say, ""Why has a surah not been sent down? ",فَوۡقَ
3:55,وَجَاعِلُ ٱلَّذِينَ ٱتَّبَعُوكَ فَوۡقَ ٱلَّذِينَ كَفَرُوٓاْ إِلَىٰ يَوۡمِ ٱلۡقِيَٰمَةِۖ,Before,فَوۡقَ
6:165,وَرَفَعَ بَعۡضَكُمۡ فَوۡقَ بَعۡضٖ دَرَجَٰتٖ لِّيَبۡلُوَكُمۡ فِي مَآ ءَاتَىٰكُمۡۗ,Or do you want to question your Messenger as Moses was questioned before?,
,تَحۡت,"And exalt [Allah] with praise of your Lord before the rising of the sun, and before its setting.",تَحۡتِ
6:65,قُلۡ هُوَ ٱلۡقَادِرُ عَلَىٰٓ أَن يَبۡعَثَ عَلَيۡكُمۡ عَذَابٗا مِّن فَوۡقِكُمۡ أَوۡ مِن تَحۡتِ أَرۡجُلِكُمۡ,After,تَحۡتَكِ
19:24,"فَنَادَىٰهَا مِن تَحۡتِهَآ أَلَّا تَحۡزَنِي قَدۡ جَعَلَ رَبُّكِ تَحۡتَكِ سَرِيّٗا ","Then you took [for worship] the calf after him, while you were wrongdoers.",
,يَمِين,"And if you should follow their inclinations after what has come to you of knowledge,",يَمِينٖ
34:15,لَقَدۡ كَانَ لِسَبَإٖ فِي مَسۡكَنِهِمۡ ءَايَةٞۖ جَنَّتَانِ عَن يَمِينٖ وَشِمَالٖۖ,When (for past),ٱلۡيَمِينِ
37:28,"قَالُوٓاْ إِنَّكُمۡ كُنتُمۡ تَأۡتُونَنَا عَنِ ٱلۡيَمِينِ ","And recall when We appointed for Moses forty nights. Then you took [for worship] the calf after him,",بِيَمِينِكَ
20:17,"وَ مَا تِلۡكَ بِيَمِينِكَ يَٰمُوسَىٰ ","And when We made the House a place of return for the people,",
,شِمَال,When,شِمَالٖۖ
34:15,لَقَدۡ كَانَ لِسَبَإٖ فِي مَسۡكَنِهِمۡ ءَايَةٞۖ جَنَّتَانِ عَن يَمِينٖ وَ شِمَالٖۖ,"Those who, when a calamity afflicts them, say, “To Allah we belong, and to Him we will return.”",ٱلشِّمَالِ
50:17,"إِذۡ يَتَلَقَّى ٱلۡمُتَلَقِّيَانِ عَنِ ٱلۡيَمِينِ وَعَنِ ٱلشِّمَالِ قَعِيدٞ ","And when My servants ask you about Me, I Am near;",ٱلشِّمَالِ
56:41,"وَأَصۡحَٰبُ ٱلشِّمَالِ مَآ أَصۡحَٰبُ ٱلشِّمَالِ ",(for present/future),بِشِمَالـِهِۦ
69:25,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ بِشِمَالـِهِۦ فَيَقُولُ,"And recall when We appointed for Moses forty nights. Then you took [for worship] the calf after him,",
,بَيۡن,So Allah caused him to die for a hundred years; then He revived him.,بَيۡنَ
59:7,كَيۡ لَا يَكُونَ دُولَةَۢ بَيۡنَ ٱلۡأَغۡنِيَآءِ مِنكُمۡۚ,Then (directly after)/so,بَيۡنَهُمَا
20:6,"لَهُۥ مَا فِي ٱلسَّمَٰوَٰتِ وَمَا فِي ٱلۡأَرۡضِ وَمَا بَيۡنَهُمَا وَمَا تَحۡتَ ٱلثَّرَىٰ ","He said, “How can Allah revive this after its demise?” So Allah caused him to die for a hundred years;",بَيۡنِ
86:7,"يَخۡرُجُ مِنۢ بَيۡنِ ٱلصُّلۡبِ وَٱلتَّرَآئِبِ ","He said, “Then take four birds,…”",
,بَيۡنَ أَيۡدِي / بَيۡن يَدَي,Of (belonging to),بَيۡنَ يَدَيۡهِ
2:97,"مُصَدِّقٗا لِّمَا بَيۡنَ يَدَيۡهِ وَهُدٗى وَبُشۡرَىٰ لِلۡمُؤۡمِنِينَ ",But Allah chooses for His mercy whomever He wills. Allah is Possessor of Sublime Grace.,بَيۡنَ أَيۡدِيهِمۡ
22:76,يَعۡلَمُ مَا بَيۡنَ أَيۡدِيهِمۡ وَمَا خَلۡفَهُمۡۖ,Of (belonging to),
,خَلۡف (مَا بَيۡنَ أَيۡدِيهِمۡ وَمَا خَلۡفَهُمۡۖ),"And give those of kinship his rights, and the poor, and the wayfarer,",خَلۡفَهُمۡۖ
22:76,يَعۡلَمُ مَا بَيۡنَ أَيۡدِيهِمۡ وَمَا خَلۡفَهُمۡۖ,,
,خَلۡف (لِمَنۡ خَلۡفَكَ ءَايَةٗۚ),they would have sought a way to the Lord of the Throne.,خَلۡفَكَ
10:92,فَٱلۡيَوۡمَ نُنَجِّيكَ بِبَدَنِكَ لِتَكُونَ لِمَنۡ خَلۡفَكَ ءَايَةٗۚ,,
,وَرَاء (مِن وَرَآءِ حِجَابٖۚ),and We sheltered them on high ground with security and flowing springs.,وَرَآءِ
33:53,وَإِذَا سَأَلۡتُمُوهُنَّ مَتَٰعٗا فَسۡـَٔلُوهُنَّ مِن وَرَآءِ حِجَابٖۚ,Of (belonging to),
,وَرَاء (فَمَنِ ٱبۡتَغَىٰ وَرَآءَ ذَٰلِكَ),Those of you who have affluence and means should not refuse to give,وَرَآءِ
11:71,"فَبَشَّرۡنَٰهَا بِإِسۡحَٰقَ وَ مِن وَرَآءِ إِسۡحَٰقَ يَعۡقُوبَ ",,وَرَآءَ
70:31,"فَمَنِ ٱبۡتَغَىٰ وَرَآءَ ذَٰلِكَ فَأُوْلَٰٓئِكَ هُمُ ٱلۡعَادُونَ ","to give to the relatives, and the needy, and the emigrants for the sake of Allah.",
,حَوۡل,Family/ People of,حَوۡلِ
39:75,وَتَرَى ٱلۡمَلَٰٓئِكَةَ حَآفِّينَ مِنۡ حَوۡلِ ٱلۡعَرۡشِ يُسَبِّحُونَ بِحَمۡدِ رَبِّهِمۡۚ,"It is never the wish of the disbelievers from among the People of the Book, nor of the polytheists,",حَوۡلَـهَاۚ
6:92,وَلِتُنذِرَ أُمَّ ٱلۡقُرَىٰ وَمَنۡ حَوۡلَـهَاۚ,"If you fear a breach between the two, appoint an arbiter from his family and an arbiter from her family.",ٱلۡحَوۡلِ
2:240,وَصِيَّةٗ لِّأَزۡوَٰجِهِم مَّتَٰعًا إِلَى ٱلۡحَوۡلِ غَيۡرَ إِخۡرَاجٖۚ,Family/ people of,
,حَيۡثُ,"And recall when We delivered you from the people of Pharaoh. They inflicted on you terrible persecution,",حَيۡثُ
2:191,وَٱقۡتُلُوهُمۡ حَيۡثُ ثَقِفۡتُمُوهُمۡ وَأَخۡرِجُوهُم مِّنۡ حَيۡثُ أَخۡرَجُوكُمۡۚ,"and will complete His blessing upon you and upon the family of Jacob,",حَيۡثُ
2:144,وَحَيۡثُ مَا كُنتُمۡ فَوَلُّواْ وُجُوهَكُمۡ شَطۡرَهُۥۗ,Lo!/ Will .. not ?,
,أَيۡنَمَا,Lo! in the remembrance of Allah hearts do find rest.,أَيۡنَمَا
4:78,أَيۡنَمَا تَكُونُواْ يُدۡرِككُّمُ ٱلۡمَوۡتُ وَلَوۡ كُنتُمۡ فِي بُرُوجٖ مُّشَيَّدَةٖۗ,,فَأَيۡنَمَا
2:115,فَأَيۡنَمَا تُوَلُّواْ فَثَمَّ وَجۡهُ ٱللَّهِۚ,"shall he keep it with ignominy or bury it in the dust! Unquestionably, vile is that which they judge!",
